#time meanCourantNo maxCourantNo Ndt
5688 0.160687 0.232946 0.0867842
5696 0.160684 0.232943 0.0867828
5704 0.160682 0.232939 0.0867815
5712 0.16068 0.232935 0.0867802
5720 0.160678 0.232931 0.0867789
5728 0.160677 0.232926 0.0867777
5736 0.160676 0.232922 0.0867765
5744 0.160675 0.232917 0.0867753
5752 0.160675 0.232913 0.0867742
5760 0.160675 0.232908 0.0867731
5768 0.160675 0.232904 0.086772
5776 0.160676 0.232899 0.086771
5784 0.160677 0.232895 0.0867699
5792 0.160678 0.23289 0.0867689
5800 0.160679 0.232885 0.0867679
5808 0.160681 0.23288 0.0867669
5816 0.160683 0.232875 0.0867659
5824 0.160685 0.23287 0.0867648
5832 0.160687 0.232864 0.0867638
5840 0.160689 0.232858 0.0867628
5848 0.160691 0.232852 0.0867617
5856 0.160693 0.232844 0.0867606
5864 0.160695 0.232837 0.0867595
5872 0.160697 0.232828 0.0867584
5880 0.160699 0.232819 0.0867572
5888 0.160701 0.23281 0.086756
5896 0.160702 0.232799 0.0867548
5904 0.160704 0.232788 0.0867535
5912 0.160705 0.232777 0.0867523
5920 0.160706 0.232764 0.086751
5928 0.160707 0.232751 0.0867497
